"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes,DNV GL comments,CPwr Comment
0350-4,MV Transformer,Transforms AC power from 480V to 11.5kV for utility grid connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Failed MV Transformer,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
",Water induced failure (non-corrosion),Normal,"1) Marine rated transformer
","1) SCADA diagnostics 
2) Visual inspection",SCADA Diagnostics,Dry dock repair,4,1,1,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,Occurrence class is lower than that in the MoMo for the same failure cause. Please explain.,"OK, agreed on all dry dock repair."
0350-5,MV Transformer Enclosure,Transforms AC power from 480V to 11.5kV for utility grid connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fire/smoke,"1) Electrically isolate transformer 
2) Loss of grid connection
3) Reduction in power production to station power level
4) Islanding mode
5) Significant reduction in damping
6) Automatic fire extinguisher
",Electrical short (no water or corrosion),Normal,1)Automatic fire extinguisher,"1) Fire/smoke alarm
","1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera",Dry dock repair,4,1,1,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in risk ID 0320-9,"OK, agreed on all dry dock repair."
0360-1,Umbilical Cable Connection (All MV equipment),Medium voltage (11.5kV) connection from transformer to umbilical cable. ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - short circuit,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
",Corrosion induced failure short circuit,Normal,1) Marine rated design and components,"1) Visual inspection

","1) Grid connection breaker over-circuit trip
2) SCADA diagnostics",Manual in-situ repair and inspection,6,1,1,7,6,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0330-1,"OK,  but disagree with increased occurrence the blanketed response using ""FLS"" for reasoning  - Explain how to relate Fatigue Limit State to the hard mounted electrical bus?"
0360-2,Umbilical Cable Connection (All MV equipment),Medium voltage (11.5kV) connection from transformer to umbilical cable. ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - short circuit,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
",Improper installation or manufacturing defect results in failure,Normal,1) Marine rated design and components,"1) V&V (QC) during manufacturing and assembly
","1) Grid connection breaker over-circuit trip
2) SCADA diagnostics",Manual in-situ repair and inspection,5,1,1,7,6,Low,Low,Med,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in Risk ID 0310-2,OK
0360-3,Umbilical Cable Connection (All MV equipment),Medium voltage (11.5kV) connection from transformer to umbilical cable. ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - short circuit,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
",Vibration and/or motion induced failure,Normal,1) Marine rated design and components,"1) Visual inspection

","1) Grid connection breaker over-circuit trip
2) SCADA diagnostics",Manual in-situ repair and inspection,5,1,1,7,6,Low,Low,Med,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,see comment in risk 0320-3,OK
0360-4,Umbilical Cable Connection (All MV equipment),Medium voltage (11.5kV) connection from transformer to umbilical cable. ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - short circuit,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
",Water induced failure (non-corrosion),Normal,1) Marine rated design and components,"1) Visual inspection

","1) Grid connection breaker over-circuit trip
2) SCADA diagnostics",Manual in-situ repair and inspection,6,1,1,7,6,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,Occurrence class is lower than that in the MoMo for the same failure cause. Please explain.,OK
0360-5,Umbilical Cable Connection (All MV equipment),Medium voltage (11.5kV) connection from transformer to umbilical cable. ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fire/smoke,"1) Disconnect from transformer
2) Disconnect from grid at shore 4) loss of grid connection
5) Reduction in power production to station power level
6) Islanding mode
7) Significant reduction in damping
8)Automatic fire extinguisher
",Electrical short (no water or corrosion),Normal,"1) Grid connection breakers for electrical isolation
2) Marine rated MV equipment design","1) Visual inspections
","1) Enclosure fire alarm
2) Enclosure temperature
3) Visible and IR camera",Dry dock repair - pending investigation by service vessel.,4,1,1,7,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,See comment in risk ID 0320-9,OK
0370-1,Emergency Resistor,Load for burning power in case of DC bus overvoltage during a loss of grid ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit","1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed
",Corrosion induced failure short circuit,Islanding Mode,"1) Marine rated design
","1) Visual inspection

","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage",Manual in-situ repair and inspection,7,1,1,5,4,Low,Low,Med,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"The electric plant is normally operated with all MoMo connected to cross connected DC bus.  For flux weakening, current must flow.  The opposite PTO could be used as a motor, current sink, to keep voltage down. Resistors are a extreme case protection components.
1) Method for manually testing the resistors operational readiness
2) Is there an active burn system?
3) Can we use the other PTO at a motor?",See comment in Risk ID 0330-1,"OK,  FLS might apply to the spar platform mounting power resistor.  The power resistor is a protective circuit to allow operations in extreme wave climates.  Otherwise PTO controlled shutdown at a lower sea state.  The operational risk is less.  Reduced the risk.  It should also pose less risk to assets."
0370-2,Emergency Resistor,Load for burning power in case of DC bus overvoltage during a loss of grid ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit","1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed


",Improper installation or manufacturing defect results in failure,Islanding Mode,"1) Marine rated design
","1) Visual inspection

","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage",Manual in-situ repair and inspection,4,1,1,5,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"The electric plant is normally operates with all MoMo connected to cross connected DC bus.  For flux weakening, current must flow.  The opposite PTO could be used as a motor, current sink, to keep voltage down. Resistors are a extreme case protection components.",See comment in Risk ID 0310-2,OK
0370-3,Emergency Resistor,Load for burning power in case of DC bus overvoltage during a loss of grid ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit","1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed


",Vibration and/or motion induced failure,Islanding Mode,"1) Marine rated design
","1) Visual inspection

","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage",Manual in-situ repair and inspection,4,1,1,5,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"The electric plant is normally operates with all MoMo connected to cross connected DC bus.  For flux weakening, current must flow.  The opposite PTO could be used as a motor, current sink, to keep voltage down. Resistors are a extreme case protection components.",see comment in risk 0320-3,OK
0370-4,Emergency Resistor,Load for burning power in case of DC bus overvoltage during a loss of grid ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit","1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed


",Water induced failure (non-corrosion),Islanding Mode,"1) Marine rated design
","1) Visual inspection

","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage",Manual in-situ repair and inspection,4,1,1,5,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"The electric plant is normally operates with all MoMo connected to cross connected DC bus.  For flux weakening, current must flow.  The opposite PTO could be used as a motor, current sink, to keep voltage down. Resistors are a extreme case protection components.",Occurrence class is lower than that in the MoMo for the same failure cause. Please explain.,OK
0370-5,Emergency Resistor,Load for burning power in case of DC bus overvoltage during a loss of grid ,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Following a Loss of grid
1) Huge waves
2) Over-voltage 
3) Resistor fault - short circuit","1) Disconnect from resistor
2) Disconnect all stators from MoMo
3) Open DC cross-connection
4) Free wheeling
5) reduced controlled shut-down speed

",Electrical short (no water or corrosion),Islanding Mode,"1) Marine rated design
2) Automatic fire extinguishers
","1) Fire/smoke alarm
2) High temperature alarm on emergency resistors
","1) Emergency resistors over-current breaker trip - open
2) SCADA diagnostics
 - loss of grid
 - DC bus voltage",Manual in-situ repair and inspection,3,1,2,5,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,"The electric plant is normally operates with all MoMo connected to cross connected DC bus.  For flux weakening, current must flow.  The opposite PTO could be used as a motor, current sink, to keep voltage down. Resistors are a extreme case protection components.",,OK
0380-1,"Switch Gear - MV breaker, transformer",Make/Break MV connection to grid,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - open circuit,"1) loss of grid connection
2) Reduction in power production to station power level
3) Islanding mode
4) Significant reduction in damping
",Electrical fault,Normal,1) V&V (QC) ,"none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,7,7,Low,Low,Med,Med,"
",,,,,,,,,,,,,,,,,,,,,,,,,1) After HECO IRS interface - work on MV disconnects/breakers required on-shore and on WEC,"Internal fault causing short-term high/over pressure inside the nacelle, such as gas pressure resulting from internal arcs within the switchboard, needs to be considered. Please clarify.","Hull is vented to atmosphere to prevent any overpressure occurrence.  Switchgear is rated UL 1741, per IEEE 1547, in accordance with NFPA 70. Risk of arc is reduced.  Safety per NFPA 70E.  During maintenance, when NFPA safety applies, spaced a ventilated per DNV-OSS-312.  Further details as design matures more."
0380-2,"Switch Gear - LV breaker, transformer",Make/Break 480vac connection to electric plant,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - open circuit,"1) loss of grid connection
2) Reduction in power production to station power level
3) Islanding mode
4) Significant reduction in damping
",Electrical short,Normal,1) Airtight enclosure ,"none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,6,6,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK
0380-3,Switch Gear - Fwd /Aft ALM breaker,Make/Break fwd ALM 480vac connection to transformer,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - open circuit,1) Reduction in peak power to grid limit,Electrical short,Normal,"1) redundant design, two ALMs","none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,6,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK
0380-4,Switch Gear - DC cross-connection breaker 1,Make/Break DC bus cross connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - open circuit,1) Change in operation power flow,Electrical short,Normal,1) Airtight enclosure ,"none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,4,4,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK
0380-5,"Switch Gear - DC energy storage breaker ,  1 & 2",Make/Break fwd DC bus to energy storage connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fault - open circuit,"1) Reduction in power smoothing, possible reduction in  power to grid ",Electrical short,Normal,1) Airtight enclosure ,"none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,4,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK
0380-6,"Switch Gear - DC energy storage breaker ,  1 & 2",Make/Break fwd DC bus to energy storage connection,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations","Fault - open circuit, both energy storage system breakers open","1) Loss of all power smoothing
2) Reduction is power to grid
3) Reduced damping or active power burn",Electrical short,Normal,1) Airtight enclosure ,"none
",1) SCADA Diagnostics,Manual in-situ repair and inspection,5,1,1,6,5,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,OK
0390-1,M2G Enclosures,Provide applicable IEC IP rating,2,"Maintenance intervals;
Good control of ambient and temperature;
Vibrations",Fire/smoke,"1) Free-wheeling one PTO
2) Electrical isolation of port/strd M2G systems
3) Automatic fire extinguisher
",Electrical short,Normal,"1) V&V (QC)
2) Automatic fire extinguishers","none
",1) SCADA Diagnostics,"
Dry dock repair - pending investigation by service vessel.",5,3,3,7,7,Low,Low,Med,Med,,,,,,,,,,,,,,,,,,,,,,,,,,"1) Include automatic fire extinguisher systems in the enclosures
2) What is required for personnel and ventilation - Marine Contractor (TBD)",See comment in risk ID 0320-9,"OK, extent of fire damage will always be analyzed prior to making a decision to go to dry dock.  No reason to go to dry dock when you can replace a smoked IGBT in-situ."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
