"Risk
ID","Item
Description",Function,Tech. Class,Novel Aspects,"Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",Responsible Party,"Actions
Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended
Actions",Responsible Party (2nd),"Actions
Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status
(open or closed)",Notes
0720-3,Bridle (hawswer lines and hardware),"Constrain WEC to weathervane about the single point
Yaw stability",2,Loading,Double bridle line failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical connectivity (see 0800)
3) BOB - buoy on beach or BOTS - buoy out to sea
4) Entanglement of WEC in mooring system","Corrosion, wear, fatigue induced damage",Normal,1) Material selection  and component sizing,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,4,7,9,9,Low,Med,High,High,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
","1) Marine contractor feasibility study
2) Marine contractor",,,,,,,,,,,,,,,,,,,,,,,,1) Assumes that buoy on beach results in significant damage to the structure
0720-4,Bridle (hawswer lines and hardware),"Constrain WEC to weathervane about the single point
Yaw stability",2,Loading,Double bridle line failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical connectivity (see 0800)
3) BOB - buoy on beach or BOTS - buoy out to sea
4) Entanglement of WEC in mooring system
5) Damage to mooring connection point at the hull area",Non-service ship strike,Normal,"1) Lights, radar reflectors (e.g. visibility)
2) Bridle is below ship draft (~19m)",none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",1,4,7,9,9,Low,Low,Low,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
4) establish exclusion zone at deployed area",,,,,,,,,,,,,,,,,,,,,,,,,"1) Assumes that buoy on beach results in significant damage to the structure
2) CPwr to clarify the maximum draft of ships in the area"
0720-5,Bridle (hawswer lines and hardware),"Constrain WEC to weathervane about the single point
Yaw stability",2,Loading,Double bridle line failure (including hardware failure),"1) Loss of station keeping
2) Loss of umbilical connectivity (see 0800)
3) BOB - buoy on beach or BOTS - buoy out to sea
4) Entanglement of WEC in mooring system
5) Damage to mooring connection point at the hull area",Vandalism/ negligence,Normal,"1) Surveillance system
2) Bridle is below easy access (~19m)",none,"1) GPS watch circle alarm
2) Yaw direction detection
3) Mooring load cells
4) Visual detection
5) Loss of umbilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",1,4,7,9,9,Low,Low,Low,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,1) Assumes that buoy on beach results in significant damage to the structure
0723-1,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Extreme load induced damage (Overload),Normal,1) Redundant system (WEC remains moored),none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
2) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0723-2,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Snap loads,Normal,1) Redundant system (WEC remains moored),none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",4,1,1,7,7,Low,Low,Low,Low,"1) load cases to include investigation of snap loading
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0723-3,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line",fatigue induced damage,Normal,1) Redundant system (WEC remains moored),none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,7,1,1,5,4,Low,Low,Med,Low,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
2) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
0723-4,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Non-service ship strike,Normal,"1) Redundant system
2) Lights, radar reflectors (e.g. visibility)
3) Bridle is below ship draft (~19m)",none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",1,2,1,7,7,Low,Low,Low,Low,"1) establish exclusion zone at deployed area
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0723-5,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
","Fish bite
",Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,8,1,1,9,7,Low,Low,High,Med,"1) analysis: expected fish bite failures and detectability with regular inspections
2) protective sheath on the lines at risk for fish bite, if warranted
",,,,,,,,,,,,,,,,,,,,,,,,,
0723-6,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",Vandalism/ negligence,Normal,"1) Redundant system
2) Surveillance system
3) Bridle is below easy access (~19m)",none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,1,1,1,5,4,Low,Low,Low,Low,1) establish exclusion zone at deployed area,,,,,,,,,,,,,,,,,,,,,,,,,
0723-7,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",Material degradation due to exposure to UV,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,7,1,1,5,4,Low,Low,Med,Low,none,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to UV exposure, if warranted"
0723-8,Bridle hawser lines,"Constrain WEC to weathervane about the single point
Yaw stability",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Single bridle line failure,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",Degradation due to Marine growth,Normal,1) Redundant system (WEC remains moored),"Regularly scheduled visual inspection, with repair/ replacement as needed","1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,7,1,1,5,4,Low,Low,Med,Low,none,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to marine growth, if warranted"
0726-1,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Yield (ULS),"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Extreme load induced damage (Overload),Normal,1) Redundant system,none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
2) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0726-2,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Yield (ULS),"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Snap loads,Normal,1) Redundant system,none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",4,1,1,7,7,Low,Low,Low,Low,"1) load cases to include investigation of snap loading
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0726-3,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Crack (FLS),"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",fatigue induced damage,Normal,1) Redundant system,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) Yaw direction detection
2) Mooring load cell
3) Visual detection",,7,1,1,5,4,Low,Low,Med,Low,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
2) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,
0726-4,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Yield (ULS),"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
4) Damage to mooring connection point at the hull area
",Non-service ship strike,Normal,"1) Redundant system
2) Lights, radar reflectors (e.g. visibility)
3) Bridle is below ship draft (~19m)",none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection","1) Repair/replace on site
2) Recover WEC, dry doc repair of hull area",1,2,1,7,7,Low,Low,Low,Low,"1) establish exclusion zone at deployed area
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0726-5,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",varies,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",Vandalism/ negligence,Normal,"1) Redundant system
2) Surveillance system
3) Bridle is below easy access (~19m)",none,"1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,1,1,1,5,4,Low,Low,Low,Low,1) establish exclusion zone at deployed area,,,,,,,,,,,,,,,,,,,,,,,,,
0726-6,Bridle shackles,"Connection points for bridle hawser lines to WEC
Load transfer from WEC to mooring system",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",crack / yield,"1) Change in buoy orientation
2) Reduction in power production
3) Increased load on intact line
",Corrosion,Normal,"1) Redundant system
2) Material selection  and component sizing","Regularly scheduled visual inspection, with repair/ replacement as needed","1) Yaw direction detection
2) Mooring load cell
3) Visual detection",Repair/replace on site,7,1,1,5,4,Low,Low,Med,Low,"1) CPwr to confirm that corrosion allowance has been considered in the structural design; if not, corrosion allowance to be defined as per DNV-OS-E301 with annual inspection",,,,,,,,,,,,,,,,,,,,,,,,,
0732-1,Tether Chain,"Connecting tether line poly line segments
Provide restoring force in the mooring system",2,Loading,crack/yield,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Damage to mooring connection point at the hull area",Extreme load induced damage (Overload),Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",5,1,1,9,7,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
4) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0732-2,Tether Chain,"Connecting tether line poly line segments
Provide restoring force in the mooring system",2,Loading,crack/yield,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Damage to mooring connection point at the hull area",Snap loads,Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) load cases to include investigation of snap loading
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0732-3,Tether Chain,"Connecting tether line poly line segments
Provide restoring force in the mooring system",2,Loading,crack/yield,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Damage to mooring connection point at the hull area",fatigue induced damage,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
4) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0732-4,Tether Chain,"Connecting tether line poly line segments
Provide restoring force in the mooring system",2,Loading,crack/yield,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Damage to mooring connection point at the hull area",Non-service ship strike,Normal,"1) Lights, radar reflectors (e.g. visibility)",none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",3,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) establish exclusion zone at deployed area
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure",,,,,,,,,,,,,,,,,,,,,,,,,
0732-5,Tether Chain,"Connecting tether line poly line segments
Provide restoring force in the mooring system",2,Loading,crack/yield,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)",Corrosion,Normal,1) Material selection  and component sizing,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) CPwr to confirm that corrosion allowance has been considered in the structural design; if not, corrosion allowance to be defined as per DNV-OS-E301 with annual inspection",,,,,,,,,,,,,,,,,,,,,,,,,
0733-1,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Possible damage to WEC",Extreme load induced damage (Overload),Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",5,1,1,9,7,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
4) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
5) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event",,,,,,,,,,,,,,,,,,,,,,,,,
0733-2,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Possible damage to WEC",Snap loads,Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",4,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) load cases to include investigation of snap loading
3) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
4) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event",,,,,,,,,,,,,,,,,,,,,,,,,
0733-3,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)",fatigue induced damage,Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
4) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
5) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event",,,,,,,,,,,,,,,,,,,,,,,,,
0733-4,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Possible damage to WEC",Non-service ship strike,Normal,"1) tether is 4+ meters below surface, below most ship's hulls
2) Lights, radar reflectors (e.g. visibility)",none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",3,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
3) establish exclusion zone at deployed area",,,,,,,,,,,,,,,,,,,,,,,,,
0733-5,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)","Fish bite
",Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",8,1,1,9,7,Low,Low,High,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
3) analysis: expected fish bite failures and detectability with regular inspections
4) protective sheath on the lines at risk for fish bite, if warranted",,,,,,,,,,,,,,,,,,,,,,,,,
0733-6,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)",Vandalism/ negligence,Normal,"1) tether is 4+ meters below surface, difficult to access",none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",4,1,1,9,7,Low,Low,Med,Low,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2)  establish exclusion zone at deployed area",,,,,,,,,,,,,,,,,,,,,,,,,
0733-7,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)",Material degradation due to exposure to UV,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to UV exposure, if warranted"
0733-8,Tether lines,"Load transfer from WEC to WETS moorings
Provide restoring force for position keeping",2,"Loading
Material integrity subjected to marine environment: Exposure to UV, marine growth control",Line break,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)",Degradation due to marine growth,Normal,none,"Regularly scheduled visual inspection, with repair/ replacement as needed","1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)",7,1,1,9,7,Low,Low,High,Med,1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure,,,,,,,,,,,,,,,,,,,,,,,,,"CPwr to provide recommended actions to reduce risk of failure due to marine growth, if warranted"
0736-1,Tether Shackles and pendant,"Connection points for polyester lines to chain, pendant and buoy
Load transfer",2,Loading,Yield/crack,"1) Loss of WEC orientation and equilibrium position
2) Entanglement of WEC in mooring system
3) Possible loss of umbilical connectivity (see 0800)
4) Possible damage to WEC",Extreme load induced damage (Overload),Normal,none,none,"1) GPS watch circle alarm
2) Mooring load cell
3) Visual detection
4) loss of umibilical connectivity","Mooring: Repair/replace on site
Umbilical: Repair/replace on site… but long lead time (~12mo)
WEC Hull: recover WEC, dry dock repair",5,1,1,9,7,Low,Low,Med,Med,"1) design of umibilical to incorporate repairable weak link to allow for shorter repair time and reduced cost of failure
2) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling. 
3) CPwr to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.
4) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
5) A salvage/emergency response plan to be defined prior to first deployment, stating the mitigating actions for the failure and the expected time window for the  operation(s) to be carried out. It needs to be demonstrated that the expected time window is achievable for the sudden occurrence of the event",,,,,,,,,,,,,,,,,,,,,,,,,
