"Risk ID","Item Description",Function,"Tech. Class",Novel Aspects,"Failure Mode","Failure Effects (Local, WEC, System)","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative
Detection","Post Failure Detection","Post Failure Repair Strategy (automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended
Actions",DVN GL comments,CPWR Response Notes,Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status (open or closed)",Notes
270-18,"Stator Cart
Stator segment mount","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Failure of mechanical mounting,"1) Stator segment no longer attached to outer housing
2) Stator makes contact with rotor
3) Permanent damage to surrounding rotors and stators",Vibration,Normal,"1) Modal Analysis
2) V&V (commissioning testing and post inspection)
3) Redundant hardware
4) Loctite and proper torque specs",none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,7,1,1,8,8,Low,Low,Med,Med,"The recommended action is to investigate the dynamic movement of the stator and assess the effect of the vibration loads on the structure integrity (fatigue) of the component. The acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
The FE analysis, considering these failure mechanisms, need to demonstrate the structural strength is within the acceptance criteria in the standard and the impact on functionality of the device is within the acceptance criteria. 
The monitoring of the vibration shall be done to identify the level of vibrations during in-service life. If any excessive vibration is detected, intervention is required to reduce the vibration level below the maximum level, as defined in the acceptance criteria (conditioning monitoring). ","Probability class same as FLS design
Action the same as ""Vibration"" for rotor segment mounting",,,,,,,,,,,,,,,,,,,,,,,,,,
270-19,"Stator Cart
Bolts","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Loosening,"1) Excessive vibration
2) Bolts travel into air gap, damaging the stator and rotor segments",Loss of pretension,Normal,"1) painted torqued bolts
2) V&V (commissioning testing and post inspection)
3) Redundant hardware
4) Loctite and proper torque specs",none,"1) Surveillance camera
2) Accelerometer on rotor/shaft
3) Noise detected on microphone",Dry dock to replace damaged components,7,1,1,8,8,Low,Low,Med,Med,"CP to demonstrate, via documented evidence (material certificate, testing reports), the pretension on the bolts can be maintained between maintenance intervals. ","Suggested text for recommended action:
CP to demonstrate, via documented evidence (material certificate, testing reports), the pretension on the bolts can be maintained between maintenance intervals. ",,,,,,,,,,,,,,,,,,,,,,,,,,
270-2,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single torque rod failure,"1) Stator segment loosely attached to outer housing
2) Shut down MoMo for stator group
3) Large side load on V-rail",Manufacturing defect,Normal,"1) Redundant torque rod
2) V&V",none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace torque rod,3,1,1,6,7,Low,Low,Low,Low,1) Occurrence is low based on the assumption that the manufacturer is able to provide evidence for reliability compatible to the occurrence class.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
270-3,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single torque rod failure,"1) Stator segment loosely attached to outer housing
2) Shut down MoMo for stator group
3) Large side load on V-rail",Vibration,Normal,1) Redundant torque rod,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace torque rod,7,1,1,6,7,Low,Low,Med,Med,"The recommended action is to investigate the dynamic movement of the rotor and assess the effect of the vibration loads on the structure integrity (fatigue) of the component. The acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
The FE analysis, considering these failure mechanisms, need to demonstrate the structural strength is within the acceptance criteria in the standard and the impact on functionality of the device is within the acceptance criteria. 
The monitoring of the vibration shall be done to identify the level of vibrations during in-service life. If any excessive vibration is detected, intervention is required to reduce the vibration level below the maximum level, as defined in the acceptance criteria (conditioning monitoring). ","Probability class same as FLS design
Action the same as ""Vibration"" for rotor segment mounting
",,,,,,,,,,,,,,,,,,,,,,,,,,
270-4,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single torque rod failure,"1) Stator segment loosely attached to outer housing
2) Shut down MoMo for stator group
3) Large side load on V-rail",Deformation of rotor,Normal,1) Redundant torque rod,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace torque rod,5,1,1,6,7,Low,Low,Low,Med,"Identify the likely rotor deformation during operating conditions and extreme events. In the rotor FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ","Suggest text for recommended action:
Identify the likely rotor deformation during operating conditions and extreme events. In the rotor FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. 
",,,,,,,,,,,,,,,,,,,,,,,,,,
270-5,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Double torque rod failure,"1) Stator segment loosely attached to outer housing
2) Stator makes contact with neighbouring stators
3) Shut down MoMo for stator group.
",Wear/fatigue ,Normal,None,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace damaged components,6,1,1,7,7,Low,Low,Med,Med,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,"Probability class lower than that for single rod failure.
Action the same as ""Wear/Fatigue"" for the main bearing and Stator Cart Torque Rods ",,,,,,,,,,,,,,,,,,,,,,,,,,Rubber spacers to be investigated
270-6,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Double torque rod failure,"1) Stator segment loosely attached to outer housing
2) Stator makes contact with neighbouring stators
3) Shut down MoMo for stator group.
",Manufacturing defect,Normal,1) V&V,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace damaged components,2,1,1,7,7,Low,Low,Low,Low,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,Rubber spacers to be investigated
270-7,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Double torque rod failure,"1) Stator segment loosely attached to outer housing
2) Stator makes contact with neighbouring stators
3) Shut down MoMo for stator group.
",Vibration,Normal,None,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace damaged components,6,1,1,7,7,Low,Low,Med,Med,"The recommended action is to investigate the dynamic movement of the stator and assess the effect of the vibration loads on the structure integrity (fatigue) of the component. The acceptance criteria for the maximum vibration level shall be defined, based on FE analysis. 
The FE analysis, considering these failure mechanisms, need to demonstrate the structural strength is within the acceptance criteria in the standard and the impact on functionality of the device is within the acceptance criteria. 
The monitoring of the vibration shall be done to identify the level of vibrations during in-service life. If any excessive vibration is detected, intervention is required to reduce the vibration level below the maximum level, as defined in the acceptance criteria (conditioning monitoring). ","Probability class lower than that for single rod failure.
Action the same as ""Vibration"" for rotor segment mounting",,,,,,,,,,,,,,,,,,,,,,,,,,Rubber spacers to be investigated
270-8,"Stator Cart
Torque Rods","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Double torque rod failure,"1) Stator segment loosely attached to outer housing
2) Stator makes contact with neighbouring stators
3) Shut down MoMo for stator group.
",Deformation of rotor,Normal,None,none,"1) Surveillance camera
2) Surveillance microphone ",Dry dock to replace damaged components,4,1,1,7,7,Low,Low,Low,Low,"Identify the likely rotor deformation during operating conditions and extreme events. In the rotor FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
270-9,"Stator Cart
Torque rod load cell ","Transmit torque from stator segment to PTO structure
Maintains generator air gap locally
",3,"Loading
Local tolerance requirement
Long term behaviour",Single torque rod load cell failure,"1) Stator segment loosely attached to outer housing
2) Shut down MoMo for stator group
3) Large side load on V-rail",fatigue ,Normal,1) Each torque rod is designed to take the entire load,none,"1) SCADA diagnostics
2) Surveillance camera
3) Surveillance microphone 
",Dry dock to replace damaged components,5,1,1,7,7,Low,Low,Med,Med,,CP to provide more specific description of the function,The load cell is used to measure the load in the torque rod. This value is used calculate the generator torque.,,,,,,,,,,,,,,,,,,,,,,,,,
280-1,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Wear/fatigue,Normal,"1) Regular seal replacement
2) Large deflection in seal acceptable
3) Large pumps",none,level sensors,dry dock repair of seal,7,1,1,6,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","Occurrence class adjusted to be consistent with FLS criteria
Action the same as ""Wear/Fatigue"" for main bearing ",The land based test is measuring the deformation in the shafts for a given load. This data will be used to validate the expected travel and ensure the seals can handle that deflection.,,,,,,,,,,,,,,,,,,,,,,,,,
280-10,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Over pressurization,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,4,1,1,6,7,Low,Low,Low,Low,,,"Our current design holds up to 100 psi at a max offset of 1/4"". Both of these values are over the expected and not intended to happen at the same time. The land based generator test will test the system at 100 psi and with the maximum non torque loads expected. Any leaks will be detected. The pressure against the seal is provided by a seal carrier. This seal carrier is bolted into place and its initial position is determined by the gap between the seal carrier and the running surface. This gap is determined based on measurements take after the seal has been manufactured.",,,,,,,,,,,,,,,,,,,,,,,,,
280-11,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Material degradation,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,4,1,1,6,7,Low,Low,Low,Low,"Demonstrate, via manufacturing documentation, that the long term stability of the integrity of the material is within the acceptance criteria for design",,,,,,,,,,,,,,,,,,,,,,,,,,,
280-12,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Deformation of shaft,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,4,1,1,6,7,Low,Low,Low,Low,"Identify the likely shaft deformation during operating conditions and extreme events. In the shaft FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
280-13,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Wear/fatigue,Normal,"1) Regular seal replacement
2) Large deflection in seal acceptable
3) Large pumps",none,level sensors,dry dock repair of seal,5,1,1,6,7,Low,Low,Low,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","Action the same as ""Wear/fatigue"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,Does lubrication system pressure exceed that of water from leaking seal?
280-14,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Contamination,Normal,"1) Rope guard per DNV standards
2) Large pumps",none,level sensors,dry dock repair of seal,4,1,1,6,7,Low,Low,Low,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does lubrication system pressure exceed that of water from leaking seal?
280-15,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Manufacturing defect,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,8,1,1,6,7,Low,Low,Med,Med,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,Does lubrication system pressure exceed that of water from leaking seal?
280-16,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Over pressurization,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,3,1,1,6,7,Low,Low,Low,Low,,,"Our current design holds up to 100 psi at a max offset of 1/4"". Both of these values are over the expected and not intended to happen at the same time. The land based generator test will test the system at 100 psi and with the maximum non torque loads expected. Any leaks will be detected. The pressure against the seal is provided by a seal carrier. This seal carrier is bolted into place and its initial position is determined by the gap between the seal carrier and the running surface. This gap is determined based on measurements take after the seal has been manufactured.",,,,,,,,,,,,,,,,,,,,,,,,,
280-17,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Material degradation,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,3,1,1,6,7,Low,Low,Low,Low,"Demonstrate, via manufacturing documentation, that the long term stability of the integrity of the material is within the acceptance criteria for design",,,,,,,,,,,,,,,,,,,,,,,,,,,
280-18,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Catastrophic leak greater than secondary bilge can handle,"1) Flooded bilge tank beyond secondary bilge capabilities
2) water fills up bilge pipes to main bearings
3) seals in bearings keep water from entering PTO space",Deformation of shaft,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,3,1,1,6,7,Low,Low,Low,Low,"Identify the likely shaft deformation during operating conditions and extreme events. In the shaft FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
280-19,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Quality control: Failure to manufacture to acceptable level of tolerance and/or inability to manufacture seals,No seals availble for installation,Manufacturing defect,Assembly,Design and manufacturing changes required,V&V of assembly,n/a,n/a,10,1,1,9,9,Low,Low,High,High,"New manufacturing design, re-analyse seal design ",,"Requires extensive investigation, more coorperative R&D with seal manufacturer",,,,,,,,,,,,,,,,,,,,,,,,,
280-2,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Contamination,Normal,"1) Rope guard per DNV standards
2) Large pumps",none,level sensors,dry dock repair of seal,6,1,1,6,7,Low,Low,Med,Med,1) Metal content / foreign particles to be monitored and implementation of early detection measure in order to limit the consequence of failure. ,"Action the same as ""Contamination, corrosion"" for the main bearings",How do we monitor for contamination in the ocean water? Does the rope guard not cover against this?,,,,,,,,,,,,,,,,,,,,,,,,,
280-3,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Manufacturing defect,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,4,1,1,6,7,Low,Low,Low,Low,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
280-4,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Over pressurization,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,5,1,1,6,7,Low,Low,Low,Med,,"Please explain how the pressure in the seal is maintained.
Suggest text for recommended action:
Demonstrate, via analysis, that the maximum pressure on the seal, taking into account the pressure fluctuation due to loading on the shaft, is within the acceptable limits in design. Consideration of active pressure compensation or the use of back up seal is possible to reduce the consequence if the risks cannot be lowered. ","Our current design holds up to 100 psi at a max offset of 1/4"". Both of these values are over the expected and not intended to happen at the same time. The land based generator test will test the system at 100 psi and with the maximum non torque loads expected. Any leaks will be detected. The pressure against the seal is provided by a seal carrier. This seal carrier is bolted into place and its initial position is determined by the gap between the seal carrier and the running surface. This gap is determined based on measurements take after the seal has been manufactured.",,,,,,,,,,,,,,,,,,,,,,,,,
280-5,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Material degradation,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,5,1,1,6,7,Low,Low,Low,Med,"Demonstrate, via manufacturing documentation, that the long term stability of the integrity of the material is within the acceptance criteria for design","Suggest text for recommended action:
Demonstrate, via manufacturing documentation, that the long term stability of the integrity of the material is within the acceptance criteria for design",,,,,,,,,,,,,,,,,,,,,,,,,,
280-6,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Moderate Leak,1) Flooded bilge tank within primary bilge capabilities,Deformation of shaft,Normal,"1) Precommissioning seal test
2) Large pumps",none,level sensors,dry dock repair of seal,5,1,1,6,7,Low,Low,Low,Med,"Identify the likely shaft deformation during operating conditions and extreme events. In the shaft FE model, the deformation is to be assessed with the stator/rotor loads and the environmental loading, and estimate the mode and magnitude of deformation in FE analysis. In the FE model, the results shall demonstrate stresses are within the acceptance criteria for associated strain and stresses imposed on the component. Measures to improve the design of the component to reduce deformation can be considered, if it is necessary. ","Action the same as ""Deformation of shaft"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
280-7,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Wear/fatigue,Normal,"1) Regular seal replacement
2) Large deflection in seal acceptable
3) Secondary Pump",none,level sensors,dry dock repair of seal,6,1,1,6,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.
2) CPower to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.","Action the same as ""Wear/fatigue"" for main bearing",,,,,,,,,,,,,,,,,,,,,,,,,,
280-8,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Contamination,Normal,"1) Rope guard per DNV standards
2) Secondary Pump",none,level sensors,dry dock repair of seal,5,1,1,6,7,Low,Low,Low,Med,1) Metal content / foreign particles to be monitored and implementation of early detection measure in order to limit the consequence of failure. ,"Action the same as ""Contamination, corrosion"" for the main bearings",How do we monitor for contamination in the ocean water? Does the rope guard not cover against this?,,,,,,,,,,,,,,,,,,,,,,,,,
280-9,Shaft Seals,Maintain watertight integrity of PTO structure where it is pierced by a rotating shaft,2,"Loading
Maintenance intervals
Deformation uncertainty
Long term behavior",Large leak,"1) Flooded bilge tank beyond primary bilge capabilities
2) Secondary bilge turns on",Manufacturing defect,Normal,"1) Precommissioning seal test
2) Secondary Pump",none,level sensors,dry dock repair of seal,3,1,1,6,7,Low,Low,Low,Low,1) Load derivation methodology to take into account the uncertainties in the loading due to site characterization measurements and hydrodynamic modelling.,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Please clarify the watertight integrity requirements for the bulkhead in PTO, including the penetration for cable transits.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Suggest text for recommended action:
Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
CP to demonstrate the derivation of loading is conservative for the site, including providing evidence from site assessment and validation of the overall loading upon deployment.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Suggest text for recommended action:
Metal content / foreign particles in lubrication oil to be monitored and implementation of early detection measure in order to limit the consequence of failure. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,"Suggest text for recommended action:
Demonstrate, via structural analysis, the loading on the bearing is within the acceptance criteria in the load case with largest deformation on the shaft.",See 261-4 recommended action #4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,See risk ID 210-3 for comment,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
