,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Risk
ID","Item Description",Function,Tech. Class,Novel Aspects,"Failure Mode","Failure Effects","Failure Causes","Initial Mode of Operation","Risk Reduction Design","Preventative Detection","Post Failure Detection","Post Failure Repair
Strategy (automated, manual)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Recommended Actions",DNV GL comment,Responsible Party,"Actions Taken",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"2nd Recommended Actions",Responsible Party (2nd),"Actions Taken (2nd)",Occurrence,Human Safety,Environment,Operation,Assets,Human Safety,Environment,Operation,Assets,"Status (open or closed)",Notes 
"0141-2
0142-2","Spar - STBD
Spar - PORT","Rigid connection between nacelle tube and damper
Dry access route into nacelle tubes
Provision of watertight compartment",2,"Loading in wave environment, with large motions",Hole in single comparment,1) water ingress through hole (bilge removes water from compartment),Leak in FRP - fatigue crack due to uncertainties in loading,Normal,"1) Single empty compartment filling does not sink WEC
2) bilge pumps in every watertight compartment",,"1) IMU orientation
2) pressure sensors outside attached to spars
3) bilge detection",Dry dock for FRP repair and replacement of damaged components,5,1,1,6,7,Low,Low,Low,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design fatigue factors (DFF) shall be applied to reduce probability of fatigue failure.
6) Establish inspection plan","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
"0141-3
0142-3","Spar - STBD
Spar - PORT","Rigid connection between nacelle tube and damper
Dry access route into nacelle tubes
Provision of watertight compartment",2,"Loading in wave environment, with large motions",Hole in single comparment,1) water ingress through hole (bilge removes water from compartment),"Non-service Boat Strike
",Normal,"1) lights, Radar reflectors (visibility)
2) Single empty compartment filling does not sink WEC
3) bilge pumps in every watertight compartment",,"1) Surveillance cameras
2) visual inspection
3) level sensors on spars","In situ FRP repair if possible (hole above waterline and known location)
Worst case: Dry dock inspection and repair of WEC.
",8,2,1,6,7,Low,Low,Med,Med,"1) establish exclusion zone at deployed area
2) The probability of occurrence to be verified considering conditions at the site and vessels in the area","Action the same as ""Non-service Boat Strike"" for Forward float/Aft Float",,,,,,,,,,,,,,,,,,,,,,,,,
"0141-4
0142-4","Spar - STBD
Spar - PORT","Rigid connection between nacelle tube and damper
Dry access route into nacelle tubes
Provision of watertight compartment",2,"Loading in wave environment, with large motions",Hole in single comparment,1) water ingress through hole (bilge removes water from compartment),Service Boat Strike,Normal,"1) Single empty compartment filling does not sink WEC
2) bilge pumps in every watertight compartment",,"1) Surveillance cameras
2) visual inspection
3) level sensors on spars","In situ FRP repair if possible (hole above waterline and known location)
Worst case: Dry dock inspection and repair of WEC.
",5,2,1,6,7,Low,Low,Low,Med,"1) Design procedures to significantly reduce the liklihood of service vessel damaging WEC
2) The probability of occurrence is to be verified against procedures for service vessel.","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
"141-5
142-5",Spar - STBD / PORT Upper composite / composite joint and Lower composite / steel joint,Connection between upper spar section and lower spar section,2,"Loading in wave environment, with large motions
Manufacturing process for the steel bolting retension flange
Long term marine environment",Structural failure,"1) Deteachment of spar sections
2) Damage to WEC","Extreme wave event loading
(Overloading)",Normal,,,1) visual inspection,Dyr dock repair,5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. ","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
"141-6
142-6",Spar - STBD / PORT Upper composite / composite joint and Lower composite / steel joint,Connection between upper spar section and lower spar section,2,"Loading in wave environment, with large motions
Manufacturing process for the steel bolting retension flange
Long term marine environment",Structural failure,"1) Deteachment of spar sections
2) Damage to WEC",Corrosion (including crevice  corrosion),Normal,,,1) visual inspection,Dyr dock repair,7,1,1,7,7,Low,Low,Med,Med,"1) Design to incorporate cathodic protection and coating as appropriate (under subsystem 0645 Marinization and Corrosion, External)
2) Establish inspection plan","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
"141-7
142-7",Spar - STBD / PORT Upper composite / composite joint and Lower composite / steel joint,Connection between upper spar section and lower spar section,2,"Loading in wave environment, with large motions
Manufacturing process for the steel bolting retension flange
Long term marine environment",Cracking,"1) Deteachment of spar sections
2) Damage to WEC",Fatigue crack due to uncertainties in loading,Normal,,,1) visual inspection,Dyr dock repair,7,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design fatigue factors (DFF) shall be applied to reduce probability of fatigue failure.
6) Establish inspection plan","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
0150-1,Damper,"Inertial/drag reaction
Wave activated body
Provision of watertight compartment",2,"Loading in wave environment, with large motions",Hole in single comparment,Crack/hole in hull (No water ingress/egress),"Leak in FRP (e.g. manufacturing flaw, assembly)  not boat strikes",Normal,"1) vacuum test all water tight compartments
2) V&V for manufacturing and assembly",,No detection,No repair necessary,4,1,1,1,1,Low,Low,Low,Low,"1) V&V procedures to be defined and followed, which shall mitigate risk of defective component up to commissioning.","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
0150-2,Damper,"Inertial/drag reaction
Wave activated body
Provision of watertight compartment",2,"Loading in wave environment, with large motions",Hole in single comparment,Crack/hole in hull (No water ingress/egress),Leak in FRP - fatigue crack due to uncertainties in loading,Normal,1) All ballast water below waterline,,No detection,No repair necessary,7,1,1,1,1,Low,Low,Low,Low,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design fatigue factors (DFF) shall be applied to reduce probability of fatigue failure.
6) Establish inspection plan","See also comment on ""improper design"" (0111-1)
Action the same as ""Leak in FRP - fatigue crack due to improper design"" for Nacelle Tube",,,,,,,,,,,,,,,,,,,,,,,,,
0150-3,Damper/Mooring lug connection,Load transfer between mooring lines and WEC hull,2,"Loading in wave environment, with large motions 
Bonding between FRP and steel for highly loaded application",Breakage of connection (FRP break),"1. Loss of mooring connection, hence position keeping
2. Significant greater watch circle
3. Loss of umbillical.","Extreme wave event loading
(Overloading)",Normal,none,,"1) GPS position alarm
2) Visual detection
3) loss of umibilical connectivity
4) mooring load cell signal",Dry dock repair,5,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design to demonstrate that the mooring lines are to break first in the event of excessive loading in order to prevent any damage to the connection points on the WEC hull area such that dry dock repair is not necessary in the event of line failure
6) Bonding of the steel and FRP to be qualified, via component testing to design load ","Suggest text for recommended action:
Bonding of the steel and FRP to be qualified, via component testing to design load validate the model and demonstrate the integrity of the interface. 
Action in ""Extreme wave event loading"" for hull applicable",,,,,,,,,,,,,,,,,,,,,,,,,
0150-4,Damper/Mooring lug connection,Load transfer between mooring lines and WEC hull,2,"Loading in wave environment, with large motions 
Bonding between FRP and steel for highly loaded application",Breakage of connection (FRP break),"1. Loss of mooring connection, hence position keeping
2. Significant greater watch circle
3. Loss of umbillical.",Fatigue,Normal,none,,"1) GPS position alarm
2) Visual detection
3) loss of umibilical connectivity
4) mooring load cell signal",Dry dock repair,7,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design fatigue factors (DFF) shall be applied to reduce probability of fatigue failure.
6) Establish inspection plan","Suggest text for recommended action:
Bonding of the steel and FRP to be qualified, via component testing to design load validate the model and demonstrate the integrity of the interface. 
Action in ""Fatigue and other degradation mechanisms"" for hull applicable",,,,,,,,,,,,,,,,,,,,,,,,,
0100-3,HAT stiffners,"Provide additional stiffness to the floats, nacelle and damper",2,Laminating and bonding process of the stiffners,Delamination,"1. Reduction in stiffness of the component
2. Excessive deformation of the component leading to increase in probability of occurrence of other failure mode, for instance reduction in air gap or sea leakage due to deformation of floats","Extreme wave event loading
(Overloading)",Normal,none,,1) visual inspection,Dry dock repair,4,1,1,7,7,Low,Low,Low,Low,none,"High severity class assumed because worst failure assumed, but lower occurrence class assigned.
",,,,,,,,,,,,,,,,,,,,,,,,,
0100-4,HAT stiffners,"Provide additional stiffness to the floats, nacelle and damper",2,Laminating and bonding process of the stiffners,Delamination,"1. Reduction in stiffness of the component
2. Excessive deformation of the component leading to increase in probability of occurrence of other failure mode, for instance reduction in air gap or sea leakage due to deformation of floats",Fatigue,Normal,none,,1) visual inspection,Dry dock repair,6,1,1,7,7,Low,Low,Med,Med,"1) Load derivation methodology to take into account the uncertainties in the loading due to site characterisation measurements and hydrodynamic modelling.
2) Uncertainty of loading estimates to be reduced by comparison of hydrodynamic behavior in simulation  versus tank testing.
3) Design load cases to be defined considering all phases (e.g. operating w/ fault, installation, etc.), and to include investigation of localized loading from e.g. slamming.
4) Derivation of localized loading to be developed, and validated via instrumentation of prototype at-sea deployment. 
5) Design fatigue factors (DFF) shall be applied to reduce probability of fatigue failure.
6) Establish inspection plan","High severity class assumed because worst failure assumed, but lower occurrence class assigned.
Suggest text for recommended action:
Bonding of the steel and FRP to be qualified, via component testing to design load validate the model and demonstrate the integrity of the interface. 
Action in ""Fatigue and other degradation mechanisms"" for hull applicable",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
